views,likes,dislikes,comment_count,views_change,publish time
2564903,96321,7972,22149,356926,307
6109402,151250,11508,19820,5397062,307
5315471,187303,7278,9990,8793077,308
913268,16729,1386,2988,323295,307
2819118,153395,2416,20573,1352252,308
1038365,22594,2798,3142,817060,307
2688797,19042,3059,2689,1280354,308
1251577,28951,1146,2606,768482,308
2671756,12699,505,1010,15310233,307
635985,20721,2417,4111,546161,307
81377,655,25,177,32124,307
230403,2413,581,2002,63243,307
5468928,247884,5025,14903,47401748,307
789594,10203,1561,3551,966792,308
301738,8634,332,2027,550600,308
5531707,72727,3362,14816,6391693,307
371683,9600,750,1282,29622,308
380111,12095,128,643,377017,307
429830,22885,141,3403,1167237,307
286577,9606,248,1196,113662,308
538546,19822,245,6479,1083618,307
343273,4503,182,266,223654,308
338085,17626,167,1418,88163,307
237111,2323,786,636,656442,308
152001,9020,244,360,444405,307
324024,10288,274,1586,604380,308
188957,7394,75,680,184071,307
265799,14179,384,1727,233419,307
87403,285,128,175,2017,307
1694708,43997,6027,3608,6016487,307
26448434,911883,53873,127481,33027267,310
147851,5319,171,739,269459,308
472936,2867,185,467,1257007,308
122634,2908,210,595,32827,512
288922,7515,792,2111,136420,308
112866,3643,112,137,609809,307
900779,47602,1876,3796,755077,308
459969,16399,822,1226,1068692,307
441712,12162,482,6058,2278621,307
34785,308,26,413,9376,308
22302,83,75,63,1612,307
393265,16805,19201,8480,183270,309
352770,4782,1838,741,126113,309
1856410,38114,2049,2768,912860,308
195143,5171,69,239,176869,307
1015189,2133,2483,1465,68388,310
47760,132,77,41,2568,307
2374251,49509,3038,8545,1573933,310
2083918,106243,1461,12707,3468449,309
10541,261,7,19,5069,308
1155622,16060,883,1018,907756,309
17679753,248909,21039,13058,62887204,310
218186,7773,230,443,69720,309
1496225,16116,236,605,3267151,310
194930,6466,139,536,220214,309
100120,154,15,48,235797,307
312769,8665,360,966,37959,309
300601,10497,382,991,310354,309
33761,149,45,222,1822,307
849499,27121,2042,5181,200843,310
5159763,146732,4515,7048,19197473,310
256760,782,98,793,48088,308
629166,8985,463,1030,442559,310
3031863,121285,1186,6852,4131653,309
3913682,129182,8991,5531,9419475,310
20529,318,11,41,42810,307
8041928,60434,11437,7545,1987267,310
43449654,1788960,24548,93428,1338896777,311
59168,2412,193,274,36001,309
82713,3124,151,250,51408,310
45236,1581,110,911,1879,309
403887,20780,643,1739,1989679,310
277614,2609,5622,2337,53368,310
237307,1896,74,260,570486,310
2954882,52519,2453,1948,15718625,310
1497519,15504,353,1084,2595290,310
172587,379,49,199,5045,333
525210,24412,1259,1847,529009,309
390261,9474,3091,3207,2639199,310
99019,2404,40,135,245310,310
11156,86,22,74,3602,308
122772,3912,298,403,61673,309
243412,7782,104,340,2507452,309
2122489,20085,1104,1321,4848935,311
58135,519,69,65,137751,311
935744,37129,622,2673,531048,309
1233722,115781,1615,9706,3300846,310
71089,460,27,20,11076,308
2720774,76529,1960,3599,1392660,310
46260,2286,35,17,2079,308
2291077,102726,12794,11941,1411444,311
2844271,60500,3667,8122,2763876,311
226659,9725,400,1027,2072907,310
1354030,57838,512,1257,15749962,310
339256,17267,85,948,1466066,310
3680540,216119,3570,20544,4308104,311
241314,15071,186,1011,1938216,310
1185773,45513,1378,4794,1958426,311
1262652,28119,1047,1113,3303966,311
225286,1731,193,206,486987,310
271685,3330,854,0,350116,311
5476737,286268,4083,12254,113579346,310
3741812,314872,2647,12114,1807805,310
304926,3305,130,275,477820,310
269509,10801,158,653,128627,310
366814,4099,172,449,1607104,311
147193,5405,151,395,480799,310
505794,55628,192,3033,2961468,310
178313,9072,98,656,2952832,310
2185367,96850,1130,8216,60202952,311
1646057,53901,1566,5963,1050563,311
797436,29425,585,1497,10796382,311
232083,14766,408,1107,395727,310
524911,7822,185,403,87043,311
1017803,25122,628,1504,1912654,311
155533,4621,233,451,190793,311
392482,5659,2432,1311,123564,311
308352,15765,399,984,71688,310
908489,12261,339,1600,575520,311
1315873,9312,584,769,1657404,311
194946,9278,137,2803,186790,311
1882868,88072,1219,6083,15346695,311
144694,1012,588,288,62826,310
226317,11702,125,471,801654,310
98422,2926,106,798,74103,310
467804,19962,268,953,951402,311
41251,1561,29,96,1529715,311
1440724,36686,6598,9637,914353,312
161231,7803,169,1479,46705,311
77302,3756,123,222,29031,310
379918,4472,4507,2066,261245,311
304700,12347,577,756,645326,310
193832,1351,25,128,24299,1212
95944,1354,181,117,167555,311
180606,2400,159,239,677894,310
55901,477,132,105,22814,311
95085,909,52,193,48404,2727
91776,4604,46,357,1320940,310
895507,38734,550,1270,4245318,311
157037,7800,96,326,1469078,310
77630,1991,83,208,62706,311
378750,5642,146,675,4180930,311
151709,9210,71,1103,87588,311
175852,15909,200,852,115858,311
5149,242,0,54,120263,310
1905487,65854,2442,4490,7460909,312
9632678,810895,16139,59473,18619769,312
476389,16106,950,2077,149457,312
878560,12961,1468,1788,3174509,312
762616,20159,336,899,555422,311
207678,10372,69,554,178467,311
691229,31892,197,1404,1399749,311
134372,7979,80,310,58020,311
79306,3809,127,670,38083,311
812007,5894,951,851,1100615,312
55398,1170,22,336,13206,311
581288,5075,725,1780,121147,312
99619,3959,158,335,472910,311
4850,22,1,1,2704,311
226088,10844,302,555,1167972,311
651036,23338,442,1101,2190514,312
451356,3454,284,623,327250,312
46571,4250,16,408,84317,311
28539,681,25,45,50853,310
30021,569,42,44,55084,311
471266,23634,460,1714,939048,311
1073134,47793,1886,5358,1096322,312
18573,420,10,236,8813,310
250193,5748,332,1197,424303,312
2457408,2707,200,209,4156485,313
51143,258,5,10,194822,311
27010,1666,36,150,81715,311
122669,5723,55,263,69101,311
358597,1211,72,593,21926,313
56012,6243,106,414,915102,311
6148,121,3,19,42110,311
1390440,86207,1775,710,608190,312
244532,633,174,765,24369,313
359120,15130,223,1143,210522,311
33768,426,88,550,21609,312
38068,2195,28,154,249404,311
1277364,56867,2148,25326,479992,312
1498866,67227,1473,4645,1713938,312
280065,20289,38,939,979178,312
470191,4037,430,1553,98810,312
16305,147,13,47,4157,311
169511,57,59,79,18925,312
704363,16352,224,841,1781023,312
130778,5684,53,737,473737,312
560569,29990,341,1788,885641,312
1607810,39699,2268,1847,2157487,306
1365087,25811,8876,6604,81280,306
3794124,106105,2103,7663,4384471,306
3798127,44277,47469,12654,878904,306
3083469,193377,1218,10440,11579891,306
2227708,11817,6285,3769,341691,306
2223948,76806,1169,4176,1238210,306
2408682,105248,1205,5987,8978808,306
2765121,35529,1705,2388,7190870,306
1531538,36000,546,4115,569522,306
792184,9174,189,486,994210,306
166097,700,347,557,9834,306
1533488,168268,738,9395,1337757,306
370461,27945,588,2235,269110,306
485303,4389,164,499,1483902,305
852543,44619,674,2609,1764373,305
643737,31028,536,1827,919756,307
1014163,23095,1256,2919,795181,307
281868,1546,245,885,86026,306
302837,11337,825,2660,332681,306
196434,6305,88,762,291336,306
122054,7081,103,893,407779,306
179948,7725,105,1007,253991,306
55910,213,150,118,4297,306
877102,15480,2421,7843,3881377,307
137749,1145,61,131,311341,306
207465,17136,152,2328,3544811,306
260902,13029,245,634,220442,307
107919,1440,90,154,103880,306
137860,1950,64,136,277033,306
27997,366,22,0,611570,306
42451,399,114,63,20405,305
225280,5770,150,1312,894082,307
37376,2093,37,521,34429,306
99999,143,12,32,16529,3164
63780,831,12,301,52572,306
30341,730,22,34,468398,306
215541,12465,46,537,181472,306
1042282,6029,549,3187,227672,307
157522,8012,85,286,325585,307
52416,5873,41,1664,9229,306
212992,7049,209,365,1202733,306
209442,19069,289,836,1324579,306
112077,438,46,572,18315,307
136837,2504,39,505,167432,307
35125,627,43,64,41157,307
72940,1353,102,145,56006,306
434036,6464,334,348,56746,308
11156,58,4,5,961,306
39720,2229,90,338,78715,306
292891,6725,386,598,1141424,308
1037561,716,117,223,1757184,307
49451,4666,92,447,27448,307
6993,20,58,53,396,307
141308,4455,169,327,59249,308
43426,309,33,47,12371,307
6801,11,35,16,298,307
227162,4836,60,268,3949028,309
3914,48,3,24,687,307
7095077,438470,6754,29178,92350207,308
92327,182,45,0,28082,309
1167646,2691,916,1122,176505,310
49915,386,11,24,6573,310
6247,22,0,2,35224,307
127404,3869,56,111,373114,310
3505996,5934,3400,5162,196984,312
90454,211,65,59,60627,310
12382809,328876,7238,14836,6303652,305
909177,36636,902,1980,835002,305
2433987,65991,9011,9450,755686,306
3621389,141681,1289,8127,10249825,305
1249486,46508,869,6511,2961716,305
968868,32181,1279,7720,248375,305
533940,12633,597,1828,901453,305
1559003,29898,884,1838,8328958,305
760341,13283,317,433,1167727,305
3821846,177700,4842,15815,19820233,305
539987,14532,650,881,1589917,305
736276,36904,748,1829,721841,305
665452,19849,227,1372,1793516,305
2098612,52336,2839,10848,1578883,306
484287,7792,150,342,1872926,305
930403,20658,970,6544,1135534,305
325333,2750,307,383,506353,305
1825705,77531,4156,12025,3312349,305
82048,3539,144,347,179163,305
38775,1373,16,140,30867,305
845763,17929,502,2325,236926,305
177648,6932,786,697,233405,306
27408,2993,87,516,11757,305
36414,125,16,40,5127,305
77763,4640,42,483,43685,305
17129,455,18,101,118829,305
3491,19,0,2,7587,311
141492,2025,70,292,3511,305
90641,2349,409,1246,23061,305
71707,4739,93,913,84526,306
48037,2167,44,401,34212,306
90268,2215,91,94,259548,305
12494,252,3,91,8447,305
124948,5933,50,640,103676,306
547362,10776,797,2486,109365,307
44856,1731,678,881,46414,306
261429,4470,62,454,741895,306
46025,2106,17,167,19130,305
69170,2462,24,101,709977,306
67471,40,15,29,8497,307
704,10,2,5,56,307
8993,292,5,162,15726,307
9747,447,14,81,15935,307
5318,20,1,3,78660,325
1267977,2028,304,1586,148179,310
465893,111,14,59,111335,311
