video_id,publish_time,views,likes,dislikes,comment_count,new_views,views_change
2kyS6SvSYSE,2017-11-13T17:13:01.000Z,2564903.0,96321.0,7972.0,22149.0,2921829.0,356926.0
1ZAPwfrtAFY,2017-11-13T07:30:00.000Z,6109402.0,151250.0,11508.0,19820.0,11505280.0,5395878.0
5qpjK5DgCt4,2017-11-12T19:05:24.000Z,5315471.0,187303.0,7278.0,9990.0,14104310.0,8788839.0
puqaWrEC7tY,2017-11-13T11:00:04.000Z,913268.0,16729.0,1386.0,2988.0,1236563.0,323295.0
d380meD0W0M,2017-11-12T18:01:41.000Z,2819118.0,153395.0,2416.0,20573.0,4171167.0,1352049.0
gHZ1Qz0KiKM,2017-11-13T19:07:23.000Z,1038365.0,22594.0,2798.0,3142.0,1855239.0,816874.0
39idVpFF7NQ,2017-11-12T05:37:17.000Z,2688797.0,19042.0,3059.0,2689.0,3969151.0,1280354.0
nc99ccSXST0,2017-11-12T21:50:37.000Z,1251577.0,28951.0,1146.0,2606.0,2020059.0,768482.0
jr9QtXwC9vc,2017-11-13T14:00:23.000Z,2671756.0,12699.0,505.0,1010.0,17981748.0,15309992.0
TUmyygCMMGA,2017-11-13T13:45:16.000Z,635985.0,20721.0,2417.0,4111.0,1182146.0,546161.0
9wRQljFNDW8,2017-11-13T02:05:26.000Z,81377.0,655.0,25.0,177.0,113501.0,32124.0
VifQlJit6A0,2017-11-13T03:00:00.000Z,230403.0,2413.0,581.0,2002.0,293646.0,63243.0
5E4ZBSInqUU,2017-11-13T17:00:00.000Z,5468928.0,247884.0,5025.0,14903.0,52851192.0,47382264.0
GgVmn66oK_A,2017-11-12T14:00:00.000Z,789594.0,10203.0,1561.0,3551.0,1756258.0,966664.0
TaTleo4cOs8,2017-11-12T18:30:01.000Z,301738.0,8634.0,332.0,2027.0,852163.0,550425.0
kgaO45SyaO4,2017-11-13T20:09:58.000Z,5531707.0,72727.0,3362.0,14816.0,11923172.0,6391465.0
ZAQs-ctOqXQ,2017-11-12T17:00:05.000Z,371683.0,9600.0,750.0,1282.0,401305.0,29622.0
YVfyYrEmzgM,2017-11-13T16:00:07.000Z,380111.0,12095.0,128.0,643.0,756985.0,376874.0
eNSN6qet1kE,2017-11-13T15:30:17.000Z,429830.0,22885.0,141.0,3403.0,1596802.0,1166972.0
B5HORANmzHw,2017-11-12T22:00:01.000Z,286577.0,9606.0,248.0,1196.0,400239.0,113662.0
vU14JY3x81A,2017-11-13T14:00:03.000Z,538546.0,19822.0,245.0,6479.0,1622164.0,1083618.0
6VhU_T463sU,2017-11-12T15:00:01.000Z,343273.0,4503.0,182.0,266.0,566927.0,223654.0
_-aDHxoblr4,2017-11-13T16:00:03.000Z,338085.0,17626.0,167.0,1418.0,426248.0,88163.0
JBZTZZAcFTw,2017-11-12T16:00:01.000Z,237111.0,2323.0,786.0,636.0,893550.0,656439.0
lZ68j2J_GOM,2017-11-13T14:44:24.000Z,152001.0,9020.0,244.0,360.0,596338.0,444337.0
dRpNZV18N_g,2017-11-12T14:00:04.000Z,324024.0,10288.0,274.0,1586.0,928320.0,604296.0
fcVjitaM3LY,2017-11-13T12:13:36.000Z,188957.0,7394.0,75.0,680.0,373028.0,184071.0
qeWvgZLz9yU,2017-11-13T16:00:03.000Z,265799.0,14179.0,384.0,1727.0,499218.0,233419.0
iIxy3JN3-jc,2017-11-13T15:42:28.000Z,87403.0,285.0,128.0,175.0,89420.0,2017.0
U0hAC8O7RoI,2017-11-13T01:43:12.000Z,1694708.0,43997.0,6027.0,3608.0,7710526.0,6015818.0
n1WpP7iowLc,2017-11-10T17:00:03.000Z,26448434.0,911883.0,53873.0,127481.0,59474347.0,33025913.0
hz7ukDjuq4w,2017-11-12T23:41:37.000Z,147851.0,5319.0,171.0,739.0,417310.0,269459.0
p2hJxyF7mok,2017-11-12T05:55:42.000Z,472936.0,2867.0,185.0,467.0,1729943.0,1257007.0
0mlNzVSJrT0,2017-04-21T06:47:32.000Z,122634.0,2908.0,210.0,595.0,155461.0,32827.0
Om_zGhJLZ5U,2017-11-12T18:00:03.000Z,288922.0,7515.0,792.0,2111.0,425342.0,136420.0
e_7zHm7GsYc,2017-11-13T15:01:18.000Z,112866.0,3643.0,112.0,137.0,722495.0,609629.0
dQvIbulWCM4,2017-11-12T23:41:48.000Z,900779.0,47602.0,1876.0,3796.0,1655761.0,754982.0
zZ9FciUx6gs,2017-11-13T15:31:44.000Z,459969.0,16399.0,822.0,1226.0,1528436.0,1068467.0
PaJCFHXcWmM,2017-11-13T17:00:04.000Z,441712.0,12162.0,482.0,6058.0,2719976.0,2278264.0
goP4Z5wyOlM,2017-11-12T21:16:40.000Z,34785.0,308.0,26.0,413.0,44161.0,9376.0
NZFhMSgbKKM,2017-11-13T15:11:00.000Z,22302.0,83.0,75.0,63.0,23914.0,1612.0
0tO_l_Ed5Rs,2017-11-11T16:00:01.000Z,393265.0,16805.0,19201.0,8480.0,576535.0,183270.0
STI2fI7sKMo,2017-11-11T15:00:03.000Z,352770.0,4782.0,1838.0,741.0,478883.0,126113.0
BWPrk9PUwQE,2017-11-12T00:45:54.000Z,1856410.0,38114.0,2049.0,2768.0,2769270.0,912860.0
ogYum4kWXgk,2017-11-13T13:00:06.000Z,195143.0,5171.0,69.0,239.0,372012.0,176869.0
sbcbvuitiTc,2017-11-10T18:23:05.000Z,1015189.0,2133.0,2483.0,1465.0,1083577.0,68388.0
zNqCVTs38nU,2017-11-13T02:15:30.000Z,47760.0,132.0,77.0,41.0,50328.0,2568.0
DM-ni_LSOFE,2017-11-10T23:05:25.000Z,2374251.0,49509.0,3038.0,8545.0,3948184.0,1573933.0
0PpNlNJ6Nng,2017-11-11T19:03:43.000Z,2083918.0,106243.0,1461.0,12707.0,5551480.0,3467562.0
c-3JxzN2u34,2017-11-12T15:05:55.000Z,10541.0,261.0,7.0,19.0,15610.0,5069.0
069D0NmW39o,2017-11-11T15:00:00.000Z,1155622.0,16060.0,883.0,1018.0,2063073.0,907451.0
9t9u_yPEidY,2017-11-10T15:00:00.000Z,17679753.0,248909.0,21039.0,13058.0,80562467.0,62882714.0
KODzih-pYlU,2017-11-11T18:08:04.000Z,218186.0,7773.0,230.0,443.0,287906.0,69720.0
8NHA23f7LvU,2017-11-10T19:06:23.000Z,1496225.0,16116.0,236.0,605.0,4763376.0,3267151.0
w0XYVssCKjw,2017-11-11T20:00:02.000Z,194930.0,6466.0,139.0,536.0,415144.0,220214.0
pjuPpVLXDQg,2017-11-13T00:46:11.000Z,100120.0,154.0,15.0,48.0,335917.0,235797.0
9xSx-5tmq44,2017-11-11T06:34:48.000Z,312769.0,8665.0,360.0,966.0,350716.0,37947.0
4v0nOAzcG2A,2017-11-11T15:38:32.000Z,300601.0,10497.0,382.0,991.0,610955.0,310354.0
oTObwUiXdYY,2017-11-13T15:44:35.000Z,33761.0,149.0,45.0,222.0,35583.0,1822.0
1cgK-BIrXes,2017-11-10T15:07:13.000Z,849499.0,27121.0,2042.0,5181.0,1050304.0,200805.0
ujyTQNNjjDU,2017-11-10T05:00:01.000Z,5159763.0,146732.0,4515.0,7048.0,24355479.0,19195716.0
PABlVzeldaM,2017-11-12T13:13:33.000Z,256760.0,782.0,98.0,793.0,304848.0,48088.0
6340tX9M_eM,2017-11-10T19:00:00.000Z,629166.0,8985.0,463.0,1030.0,1071725.0,442559.0
8mhTWqWlQzU,2017-11-11T01:19:33.000Z,3031863.0,121285.0,1186.0,6852.0,7162823.0,4130960.0
t4YAyT4ihIQ,2017-11-10T18:30:01.000Z,3913682.0,129182.0,8991.0,5531.0,13331220.0,9417538.0
MNiweoKXwfg,2017-11-13T17:00:26.000Z,20529.0,318.0,11.0,41.0,63339.0,42810.0
Jw1Y-zhQURU,2017-11-10T07:38:29.000Z,8041928.0,60434.0,11437.0,7545.0,10029012.0,1987084.0
2Vv-BfVoq4g,2017-11-09T11:04:14.000Z,43449654.0,1788960.0,24548.0,93428.0,1382225462.0,1338775808.0
UFYCTJlayS4,2017-11-11T03:56:10.000Z,59168.0,2412.0,193.0,274.0,95169.0,36001.0
cccyOn99s4Y,2017-11-10T23:00:01.000Z,82713.0,3124.0,151.0,250.0,134121.0,51408.0
abGCYPCk294,2017-11-11T17:55:27.000Z,45236.0,1581.0,110.0,911.0,47115.0,1879.0
lY_0mkYDZDU,2017-11-10T17:00:05.000Z,403887.0,20780.0,643.0,1739.0,2392917.0,1989030.0
k8NxqyGcZA4,2017-11-10T12:59:55.000Z,277614.0,2609.0,5622.0,2337.0,330982.0,53368.0
IE-xepGLVt8,2017-11-10T12:04:17.000Z,237307.0,1896.0,74.0,260.0,807793.0,570486.0
ObIQ0s02UHg,2017-11-10T14:40:48.000Z,2954882.0,52519.0,2453.0,1948.0,18673345.0,15718463.0
