video_id,publish_time,views,likes,dislikes,comment_count,new_views,new likes,new dislikes,new comment_count,views_change,likes_change,dislikes_change,comment_count_change
2kyS6SvSYSE,2017-11-13T17:13:01.000Z,2564903.0,96321.0,7972.0,22149.0,2921829.0,102691.0,8351.0,22084.0,356926.0,6370.0,379.0,-65.0
1ZAPwfrtAFY,2017-11-13T07:30:00.000Z,6109402.0,151250.0,11508.0,19820.0,11506464.0,191453.0,14559.0,22015.0,5397062.0,40203.0,3051.0,2195.0
5qpjK5DgCt4,2017-11-12T19:05:24.000Z,5315471.0,187303.0,7278.0,9990.0,14108548.0,288035.0,10516.0,12969.0,8793077.0,100732.0,3238.0,2979.0
puqaWrEC7tY,2017-11-13T11:00:04.000Z,913268.0,16729.0,1386.0,2988.0,1236563.0,20207.0,1618.0,0.0,323295.0,3478.0,232.0,-2988.0
d380meD0W0M,2017-11-12T18:01:41.000Z,2819118.0,153395.0,2416.0,20573.0,4171370.0,179714.0,2872.0,25310.0,1352252.0,26319.0,456.0,4737.0
gHZ1Qz0KiKM,2017-11-13T19:07:23.000Z,1038365.0,22594.0,2798.0,3142.0,1855425.0,31944.0,3347.0,3594.0,817060.0,9350.0,549.0,452.0
39idVpFF7NQ,2017-11-12T05:37:17.000Z,2688797.0,19042.0,3059.0,2689.0,3969151.0,24277.0,3530.0,2943.0,1280354.0,5235.0,471.0,254.0
nc99ccSXST0,2017-11-12T21:50:37.000Z,1251577.0,28951.0,1146.0,2606.0,2020059.0,37275.0,1415.0,0.0,768482.0,8324.0,269.0,-2606.0
jr9QtXwC9vc,2017-11-13T14:00:23.000Z,2671756.0,12699.0,505.0,1010.0,17981989.0,92865.0,2682.0,4945.0,15310233.0,80166.0,2177.0,3935.0
TUmyygCMMGA,2017-11-13T13:45:16.000Z,635985.0,20721.0,2417.0,4111.0,1182146.0,30810.0,3287.0,4384.0,546161.0,10089.0,870.0,273.0
9wRQljFNDW8,2017-11-13T02:05:26.000Z,81377.0,655.0,25.0,177.0,113501.0,861.0,43.0,191.0,32124.0,206.0,18.0,14.0
VifQlJit6A0,2017-11-13T03:00:00.000Z,230403.0,2413.0,581.0,2002.0,293646.0,2776.0,629.0,2182.0,63243.0,363.0,48.0,180.0
5E4ZBSInqUU,2017-11-13T17:00:00.000Z,5468928.0,247884.0,5025.0,14903.0,52870676.0,694504.0,17077.0,0.0,47401748.0,446620.0,12052.0,-14903.0
GgVmn66oK_A,2017-11-12T14:00:00.000Z,789594.0,10203.0,1561.0,3551.0,1756386.0,19136.0,2732.0,0.0,966792.0,8933.0,1171.0,-3551.0
TaTleo4cOs8,2017-11-12T18:30:01.000Z,301738.0,8634.0,332.0,2027.0,852338.0,13225.0,579.0,2461.0,550600.0,4591.0,247.0,434.0
kgaO45SyaO4,2017-11-13T20:09:58.000Z,5531707.0,72727.0,3362.0,14816.0,11923400.0,112257.0,5653.0,18534.0,6391693.0,39530.0,2291.0,3718.0
ZAQs-ctOqXQ,2017-11-12T17:00:05.000Z,371683.0,9600.0,750.0,1282.0,401305.0,10302.0,785.0,0.0,29622.0,702.0,35.0,-1282.0
YVfyYrEmzgM,2017-11-13T16:00:07.000Z,380111.0,12095.0,128.0,643.0,757128.0,16489.0,193.0,828.0,377017.0,4394.0,65.0,185.0
eNSN6qet1kE,2017-11-13T15:30:17.000Z,429830.0,22885.0,141.0,3403.0,1597067.0,53279.0,536.0,6139.0,1167237.0,30394.0,395.0,2736.0
B5HORANmzHw,2017-11-12T22:00:01.000Z,286577.0,9606.0,248.0,1196.0,400239.0,12117.0,298.0,1292.0,113662.0,2511.0,50.0,96.0
vU14JY3x81A,2017-11-13T14:00:03.000Z,538546.0,19822.0,245.0,6479.0,1622164.0,41115.0,528.0,16951.0,1083618.0,21293.0,283.0,10472.0
6VhU_T463sU,2017-11-12T15:00:01.000Z,343273.0,4503.0,182.0,266.0,566927.0,6345.0,246.0,307.0,223654.0,1842.0,64.0,41.0
_-aDHxoblr4,2017-11-13T16:00:03.000Z,338085.0,17626.0,167.0,1418.0,426248.0,19927.0,197.0,1211.0,88163.0,2301.0,30.0,-207.0
JBZTZZAcFTw,2017-11-12T16:00:01.000Z,237111.0,2323.0,786.0,636.0,893553.0,8890.0,1368.0,1253.0,656442.0,6567.0,582.0,617.0
lZ68j2J_GOM,2017-11-13T14:44:24.000Z,152001.0,9020.0,244.0,360.0,596406.0,23604.0,377.0,557.0,444405.0,14584.0,133.0,197.0
