views_change,likes,dislikes,comment_count,views,publish_time
324849486,548457,29977,55676,23575103,281
51803755,3093544,1643059,810698,149376127,283
92097,26592,904,2892,507524,282
487161,19818,704,2922,543491,283
365332,28014,861,3978,1225593,284
39362,11500,1714,1255,410282,283
590893,68298,869,11648,2027943,284
186941958,378111,66632,24679,54155921,286
165577,15348,1171,975,489051,286
60620,5260,1028,1171,197963,286
5301800,95924,16479,12613,5319685,281
2195668,24693,970,3217,1002263,281
228281,3804,160,289,56717,281
9993,1933,30,143,37170,281
68126,3298,23,333,66117,281
230949,25130,521,1205,327211,283
24601,1076,74,1249,215732,284
1059,288,477,319,52395,284
589205,13367,476,2363,356481,285
73499,19909,127,1315,149879,284
17510826,154281,7854,29706,9523267,279
953038,15166,479,608,508137,280
39808,5295,52,184,104200,280
1826013,135617,9220,25509,1882972,282
8107363,28926,697,4392,2426345,283
399678,61444,352,3811,430463,281
125141,634,7,117,33459,283
249570,3331,28,387,100757,283
132805,799,66,90,97726,284
722530,138170,8311,10809,4029821,284
2361059,47253,3849,6508,1976572,278
141130,2061,65,83,131860,278
543436,11684,582,1120,452749,280
14247215,36090,4002,5792,3016262,281
242541,17991,1611,2414,1882458,281
613140,16110,1313,1610,518359,282
2291,375,258,213,49455,282
709907,78398,1257,16646,1087385,283
142178,1187,28,93,36113,283
262652,61753,2820,4639,1820569,277
861975,12441,1837,5493,792814,278
1077505,9320,166,349,283885,277
10203,817,1478,0,57770,278
970199,32580,527,2553,645532,280
67687,5113,136,588,106324,279
27305,1958,54,189,24577,281
30073,1174,32,85,22695,281
10057723,32001,3025,5050,5376583,276
79965,11176,1061,2019,530143,277
447486,13474,743,6081,1462747,277
163668,208,8,42,23910,277
36496,4070,76,360,66190,278
36890,3806,190,608,85251,279
238456,17454,1322,1863,398429,280
22429,10519,321,3579,168910,281
1563425,44278,2990,3700,2357705,275
15161968,94373,6600,8866,3257990,276
96121,5178,336,897,142548,276
259215,56899,2108,7449,1017290,276
367982,15507,74,629,172224,276
45619985,1013411,140271,175929,18938867,279
547545,6238,124,520,319546,278
166775,1208,128,130,216939,278
317215,16088,245,1518,298421,278
112879884,1025895,17572,40899,27350528,274
225926854,865679,25934,45223,17758014,275
414978,445,44,44,890843,275
603975,2583,147,200,160892,274
1066356,52997,3697,9167,2019235,277
178755738,956937,91898,157207,41088994,278
6596,192,26,104,5969,276
152571,3853,62,434,130998,277
65898,9687,1207,1670,412649,273
100708,3560,268,435,255517,275
2814879,45690,2414,3812,1586396,275
166091,7560,737,2405,148686,274
525570,38431,509,3362,514711,276
19151,3209,32,120,65874,275
219868,17891,631,583,502917,277
54516,213,55,51,20636,276
1146920,130159,441,16570,1223851,278
333373,33825,7731,6281,3817594,272
111052,809,570,370,114865,271
325471,29306,2643,3650,2654222,274
114797,1225,1391,1816,296207,275
266246,11352,1096,807,708572,275
2459164,46874,622,2422,1324411,276
56333,1097,43,59,89923,277
148774,9070,146,463,249897,277
46461,1403,12,107,11995,275
61158,12787,1574,2251,607251,277
36179,6223,1708,3828,1339943,271
23805814,879532,17542,157166,12018779,273
293043,3256,60,197,90168,271
1319503,8431,1113,1541,1085036,273
124775,2996,94,357,59365,273
39865,1974,41,157,296518,277
67500,1406,11,88,35038,274
2058941,56388,1447,6611,2042378,276
24806,632,17,155,31319,276
8213045,89974,46609,30516,9039407,270
707703,3788,603,3093,291653,270
58682,4789,285,602,105973,270
10835,2641,270,1286,92355,271
1112460,44879,1299,4910,1595752,273
1918161,30209,339,848,1791867,274
187323,20519,503,3146,299105,274
1405420,35609,1109,1299,2303558,275
18391104,69312,2534,2100,2181296,275
177102,52381,3744,2881,4376750,269
247803,2682,214,350,230733,269
30803,2437,265,1024,125045,270
39943,5488,61,180,47752,270
506446,23760,302,3700,287733,272
7700,1678,485,628,113169,272
711699,12413,679,1330,286299,272
502627,10823,242,1049,650940,274
5877706,527481,4861,18323,6225124,268
1823936,66165,5100,5414,1782889,269
278590,26937,614,3196,364741,269
487698,42661,559,4027,492089,270
193521,2913,91,143,90870,270
868120,34785,3116,4908,1018308,272
6816696,231117,3262,73205,2723989,273
7386,76,1,9,3290,272
58182507,577712,10568,34480,12730630,267
171006,13285,2515,5182,582785,267
102465,5187,109,604,230002,268
2534,1754,1087,2703,285483,269
419657,586,219,130,107735,269
2180990,31538,844,3995,3337851,270
1104112,13420,117,930,427263,270
5412,2946,277,1541,246835,271
134728,3209,54,159,57650,271
591597,59280,2743,6699,1535269,266
652502,6688,327,801,306922,267
5398144,48299,4222,4406,4149544,268
1091608,7103,677,410,624894,268
16213,77,47,51,35233,268
1097581,14068,233,642,641055,269
2950,65,0,0,4862,268
17040,1012,32,392,36515,269
15022,1194,9,196,18001,268
560116,8706,298,1226,307494,271
36118690,682328,35479,61132,17629966,265
32407501,110060,3831,7273,3953945,267
1125155,27329,1755,1799,1093889,267
15355,1162,92,238,109525,267
307718,6950,259,846,241678,268
976,17,0,6,10655,847
3040037,148893,1573,7405,2012372,269
16699589,17406,147,930,910966,270
2097047,15745,436,2474,419538,271
282688,18543,5779,7539,1461207,264
76430480,380464,20697,29122,17540613,267
16787039,362970,19327,22297,7721222,267
56,4,0,1,3170,3194
90093,9577,103,1498,129318,268
704,32,0,0,4318,268
1207,178,26,195,10661,268
6501363,11408,2277,1211,4829710,270
374502,12422,414,1091,268077,270
687632,50835,2646,2937,1709373,263
535261,13783,422,1345,466388,266
247903,16105,2041,4195,520319,267
321449,17745,789,920,1546967,268
319786,19857,448,2255,448413,268
171278,48881,736,6740,1130995,268
133052,5599,650,779,756379,268
90078,1218,63,118,2160639,269
1834,28,0,3,3598,291
2253580,104009,6930,8495,3999438,262
3107,2870,413,671,272859,263
44269,5144,1546,1394,234260,266
1473771,10000,1034,3127,1015745,267
256855,13078,204,338,324996,267
1600724,195530,1278,12583,2910915,268
586160,23967,2108,3840,1247284,261
4904,1080,272,320,120441,262
392409,5063,589,710,461945,263
3560877,110163,3862,27434,2403767,266
114901,33663,288,2665,328740,266
552170,6173,86,571,133049,267
3701467,33462,934,1946,1370158,269
107562,9204,5176,2758,398127,269
698318,989,27,118,121344,268
679383,34123,1637,2188,1467369,260
407563,19983,1058,1071,802092,262
29873,12054,545,1518,438129,263
