video_id,views
2kyS6SvSYSE,"2,921,829"
1ZAPwfrtAFY,"11,505,280"
5qpjK5DgCt4,"14,104,310"
puqaWrEC7tY,"1,236,563"
d380meD0W0M,"4,171,167"
gHZ1Qz0KiKM,"1,855,239"
39idVpFF7NQ,"3,969,151"
nc99ccSXST0,"2,020,059"
jr9QtXwC9vc,"17,981,748"
TUmyygCMMGA,"1,182,146"
9wRQljFNDW8,"113,501"
VifQlJit6A0,"293,646"
5E4ZBSInqUU,"52,851,192"
GgVmn66oK_A,"1,756,258"
TaTleo4cOs8,"852,163"
kgaO45SyaO4,"11,923,172"
ZAQs-ctOqXQ,"401,305"
YVfyYrEmzgM,"756,985"
eNSN6qet1kE,"1,596,802"
B5HORANmzHw,"400,239"
vU14JY3x81A,"1,622,164"
6VhU_T463sU,"566,927"
_-aDHxoblr4,"426,248"
JBZTZZAcFTw,"893,550"
lZ68j2J_GOM,"596,338"
dRpNZV18N_g,"928,320"
fcVjitaM3LY,"373,028"
qeWvgZLz9yU,"499,218"
iIxy3JN3-jc,"89,420"
n30k5CwLhS4,0
U0hAC8O7RoI,"7,710,526"
CBVGjS_EJok,0
n1WpP7iowLc,"59,474,347"
hz7ukDjuq4w,"417,310"
p2hJxyF7mok,"1,729,943"
0mlNzVSJrT0,"155,461"
Om_zGhJLZ5U,"425,342"
e_7zHm7GsYc,"722,495"
dQvIbulWCM4,"1,655,761"
zZ9FciUx6gs,"1,528,436"
PaJCFHXcWmM,"2,719,976"
goP4Z5wyOlM,"44,161"
NZFhMSgbKKM,"23,914"
0tO_l_Ed5Rs,"576,535"
STI2fI7sKMo,"478,883"
BWPrk9PUwQE,"2,769,270"
ogYum4kWXgk,"372,012"
sbcbvuitiTc,"1,083,577"
zNqCVTs38nU,"50,328"
DM-ni_LSOFE,"3,948,184"
0PpNlNJ6Nng,"5,551,480"
c-3JxzN2u34,"15,610"
069D0NmW39o,"2,063,073"
9t9u_yPEidY,"80,562,467"
KODzih-pYlU,"287,906"
8NHA23f7LvU,"4,763,376"
w0XYVssCKjw,"415,144"
9XSULcLI6Hg,0
pjuPpVLXDQg,"335,917"
9xSx-5tmq44,"350,716"
4v0nOAzcG2A,"610,955"
oTObwUiXdYY,"35,583"
1cgK-BIrXes,"1,050,304"
ujyTQNNjjDU,"24,355,479"
PABlVzeldaM,"304,848"
6340tX9M_eM,"1,071,725"
8mhTWqWlQzU,"7,162,823"
t4YAyT4ihIQ,"13,331,220"
MNiweoKXwfg,"63,339"
Jw1Y-zhQURU,"10,029,012"
2Vv-BfVoq4g,"1,382,225,462"
UFYCTJlayS4,"95,169"
cccyOn99s4Y,"134,121"
abGCYPCk294,"47,115"
lY_0mkYDZDU,"2,392,917"
k8NxqyGcZA4,"330,982"
IE-xepGLVt8,"807,793"
ObIQ0s02UHg,"18,673,345"
cOc3tsFWoRs,"4,092,809"
AJYb0Yom5UQ,"177,632"
gLswXiRLdkA,"1,054,097"
MyEqfBkzESU,"3,029,133"
wJYE0sFOteE,"344,329"
L_5_slz4ke4,"14,758"
OKoL852K9uA,"184,445"
pa_oUisZZy0,"2,750,829"
fNtLIcyjsnI,"6,971,349"
_Iz83-Cmt6A,"195,886"
YlvCVbfS9M0,"1,466,792"
arJ5h2TY3I4,"4,534,221"
-2RVw2_QyxQ,"82,165"
gEHCXl4J9Qo,"4,113,417"
#NAME?,"48,339"
b4vTZx_AtHk,"3,702,409"
kOnQocd799Y,"5,607,896"
e4FApt6z55c,"2,299,306"
2XK4omx9uMU,"17,102,741"
xfmipNU4Odc,"1,805,092"
jp9hK-jY6yY,"7,988,078"
RkHuWjiR-LM,"2,179,530"
